hour,draw_fraction,draw_volume_L,draw_mass_kg
0,3.4690123010836117e-07,0.00010407036903250835,0.00010407036903250835
1,7.786534783524867e-06,0.00233596043505746,0.00233596043505746
2,0.00011206315527645596,0.033618946582936786,0.033618946582936786
3,0.0010340979926061196,0.3102293977818359,0.3102293977818359
4,0.006118440964971474,1.8355322894914423,1.8355322894914423
5,0.02321133305432665,6.963399916297996,6.963399916297996
6,0.056459837349282206,16.93795120478466,16.93795120478466
7,0.08805608900099966,26.4168267002999,26.4168267002999
8,0.08805608900136098,26.416826700408297,26.416826700408297
9,0.05645983738793949,16.937951216381848,16.937951216381848
10,0.023211335690168085,6.963400707050425,6.963400707050425
11,0.0061185562007455875,1.8355668602236763,1.8355668602236763
12,0.0010373282386004783,0.31119847158014347,0.31119847158014347
13,0.0001701214265001548,0.05103642795004644,0.05103642795004644
14,0.0006768585008324471,0.20305755024973415,0.20305755024973415
15,0.004944157192587422,1.4832471577762265,1.4832471577762265
16,0.023422388221458163,7.026716466437449,7.026716466437449
17,0.07115090308505014,21.34527092551504,21.34527092551504
18,0.1385830356391576,41.574910691747284,41.574910691747284
19,0.173069267318136,51.9207801954408,51.9207801954408
20,0.13858303563702626,41.574910691107874,41.574910691107874
21,0.07115090290355301,21.345270871065903,21.345270871065903
22,0.023422378312050803,7.026713493615241,7.026713493615241
23,0.004943810291357314,1.4831430874071942,1.4831430874071942
